geoid_2010,geoid_2020,AREALAND_INT
060014078001000,060014078002015,14098
060014078001001,060014078002009,82416
060014078001002,060014078002009,1101
060014078001003,060014078002009,1389
060014078001004,060014083001000,5778
060014078001005,060014083001002,8530
060014078001006,060014078002009,2139
060014078001007,060014078002009,407031
060014078001008,060014078002009,79879
060014078001009,060014078002013,1886
060014078001010,060014078002011,1736
060014078001011,060014078002009,890
060014078001012,060014078002013,1297
060014078001013,060014078002009,969
060014078001014,060014078002009,735
060014078001015,060014078002009,940
060014078001016,060014078002009,31264
060014078001017,060014078002009,4710
060014078001018,060014078002009,3536
060014078001019,060014078002024,1579
060014078001020,060014078002030,1398
060014078002000,060014078002004,9595
060014078002001,060014078002004,5756
060014078002002,060014078002005,7419
060014078002003,060014078002005,34825
060014078002004,060014078002006,32997
060014078002005,060014078002007,36476
060014078002006,060014078002005,13520
060014078002007,060014078002010,1426
060014078002008,060014078002018,25434
060014078002009,060014078002019,18100
060014078002010,060014078002020,15063
060014078002011,060014078002021,14222
060014078002012,060014078002022,14850
060014078002013,060014078002023,26383
060014078002014,060014078002012,1363
060014078002015,060014078002029,9516
060014078002016,060014078002028,8004
060014078002017,060014078002027,23831
060014078002018,060014078002026,11239
060014078003000,060014078001000,52703
060014078003001,060014078001001,17202
060014078003002,060014078001002,18566
060014078003003,060014078001003,66236
060014078003004,060014078001004,20399
060014078003005,060014078001005,30748
060014079001000,060014079001000,8313
060014079001001,060014079001002,67878
060014079001002,060014079001001,6720
060014079001003,060014079001003,20401
060014079001004,060014079001004,6973
060014079001005,060014079001005,134024
060014079001006,060014079001009,26536
060014079001007,060014079001006,27204
060014079001008,060014079001010,27560
060014079001009,060014079001011,152926
060014079001010,060014079001012,5387
060014079001011,060014079001005,7428
060014079001012,060014079001007,7666
060014079001013,060014079001008,23708
060014079002000,060014079002000,20807
060014079002001,060014079002001,22150
060014079002002,060014079002002,32647
060014079002003,060014079002003,42841
060014079002004,060014079002004,32481
060014079002005,060014079002005,14349
060014079002006,060014079002006,30173
060014079002007,060014079002007,10724
060014079002008,060014079002008,7539
060014079002009,060014079002009,2880
060014079002010,060014079002010,22530
060014079002011,060014079002010,4166
060014079003000,060014079003000,40704
060014079003001,060014079003001,7696
060014079003002,060014079003002,7083
060014079003003,060014079003003,8073
060014079003004,060014079003004,7081
060014079003005,060014079003005,7135
060014079003006,060014079003006,12260
060014079003007,060014079003010,85196
060014079003008,060014079003011,11370
060014079003009,060014079003007,11083
060014079003010,060014079003017,1397
060014079003011,060014079003016,10982
060014079003012,060014079003016,5574
060014079003013,060014079003016,10938
060014079003014,060014079003014,901
060014079003015,060014079003014,23674
060014079003016,060014079003008,10313
060014079003017,060014079003009,17556
060014079003018,060014079003012,15049
060014079003019,060014079003013,25367
060014079003020,060014079003018,1032
060014079003021,060014079003010,9433
060014080001000,060014080001000,2725
060014080001001,060014080001001,1672
060014080001002,060014080001013,4121
060014080001003,060014080001004,2780
060014080001004,060014080001005,807
060014080001005,060014080001005,81893
060014080001006,060014080001002,4333
060014080001007,060014080001005,1763
060014080001008,060014080001003,19262
060014080001009,060014080001002,126061
060014080001010,060014080001008,79114
060014080001011,060014080001009,6971
060014080001012,060014080001007,32206
060014080001013,060014080001006,31372
060014080001014,060014080001006,85957
060014080001015,060014080001010,3894
060014080001016,060014080001012,18153
060014080002000,060014080002000,33092
060014080002001,060014080002002,9060
060014080002002,060014080002001,5724
060014080002003,060014080002009,9093
060014080002004,060014080002008,27267
060014080002005,060014080002007,49874
060014080002006,060014080002004,211688
060014080002007,060014080002006,9255
060014080002008,060014080002019,12934
060014080002009,060014080002005,27825
060014080002010,060014080002003,2414
060014080002011,060014080002013,351080
060014080002012,060014080002020,8288
060014080002013,060014080002015,5598
060014080002014,060014080002017,18044
060014080002015,060014080002021,346531
060014080002016,060014080002025,5232
060014080002017,060014080002011,1279
060014080002018,060014080002010,7475
060014080002019,060014080002012,11264
060014081001000,060014081001000,271679
060014081001001,060014081001002,21828
060014081001002,060014081001004,99526
060014081001003,060014081001001,11962
060014081001004,060014081001005,396043
060014081001005,060014081001015,1604181
060014081001006,060014081001012,101580
060014081001007,060014081001008,4725
060014081001008,060014081001006,43452
060014081001009,060014081001015,6721
060014081001010,060014081001019,20709
060014081001011,060014081001015,10361
060014081001012,060014081001020,153626
060014081001013,060014081001015,6223
060014081001014,060014081001003,9936
060014081001015,060014081001005,161722
060014081001016,060014081001005,153702
060014081001017,060014081001013,23574
060014081001018,060014081001005,13754
060014081001019,060014081001007,18752
060014081001020,060014081001011,26565
060014081001021,060014081001005,39930
060014081001022,060014081001005,44263
060014081002000,060014081005000,1220623
060014081002001,060014081005002,11227
060014081002002,060014081005000,734
060014081002003,060014081005004,48262
060014081002004,060014081005003,2347
060014081002005,060014081005006,63354
060014081002006,060014081005005,47008
060014081002007,060014081005007,1564
060014081002008,060014081005000,381
060014081002009,060014081005001,6147
060014081002010,060014081005008,1212
060014081002011,060014081005009,11293
060014081002012,060014081005009,8308
060014081002013,060014081005010,12603
060014081002014,060014081005004,1029
060014081002015,060014081005023,3390
060014081002016,060014081002000,722474
060014081002017,060014081002000,3906
060014081002018,060014081002000,347
060014081002019,060014081002000,560
060014081002020,060014081005015,17319
060014081002021,060014081005012,30753
060014081002022,060014081005013,14972
060014081002023,060014081005021,46821
060014081002024,060014081002001,2498
060014081002025,060014081002001,2521
060014081002026,060014081002002,9054
060014081002027,060014081005016,23473
060014081002028,060014081005022,32914
060014081002029,060014081005018,14148
060014081002030,060014081005019,6621
060014081002031,060014081002003,10882
060014081002032,060014081002003,523
060014081002033,060014081002004,1748
060014081002034,060014081005021,7031
060014081002035,060014081002005,43387
060014081002036,060014081005006,621
060014081002037,060014081002001,662
060014081002038,060014081002001,9127
060014081002039,060014081002001,20953
060014081003000,060014081003002,379639
060014081003001,060014081003003,29650
060014081003002,060014081003006,8545
060014081003003,060014081003004,75916
060014081003004,060014081003001,2614
060014081003005,060014081003005,22841
060014081003006,060014081003002,745
060014081003007,060014081003000,14668
060014081003008,060014081003002,27444
060014081003009,060014301021041,4229
060014081003010,060014081003009,51197
060014081003011,060014081003008,23763
060014081003012,060014081003010,47033
060014081003013,060014081003004,618
060014081003014,060014081003007,3256
060014081004000,060014081004000,859956
060014081004001,060014081004000,890
060014081004002,060014081004002,430316
060014081004003,060014081004000,957
060014081004004,060014081004003,132833
060014081004005,060014081004004,149865
060014081004006,060014081004004,2819
060014081004007,060014081004004,15832
060014081004008,060014081004002,21306
060014081004009,060014081004001,38130
060014082001000,060014082001000,11004
060014082001001,060014082001001,75916
060014082001002,060014082001002,14720
060014082001003,060014082001003,13527
060014082001004,060014082001004,34066
060014082001005,060014082001005,31601
060014082001006,060014082001006,12775
060014082001007,060014082001007,19464
060014082001008,060014082001008,22689
060014082001009,060014082001009,26701
060014082001010,060014082001010,27699
060014082001011,060014082001011,10935
060014082001012,060014082001012,46293
060014082001013,060014082001013,25259
060014082002000,060014082002000,7794
060014082002001,060014082002001,145114
060014082002002,060014082002003,4954
060014082002003,060014082002002,18619
060014082002004,060014082002005,31744
060014082002005,060014082002004,71626
060014082002006,060014082002005,949
060014082002007,060014082002007,31559
060014082002008,060014082002006,27020
060014082002009,060014082002009,12892
060014082002010,060014082002008,14336
060014082003000,060014082003000,57285
060014082003001,060014082003001,12914
060014082003002,060014082003002,24858
060014082003003,060014082003003,12399
060014082003004,060014082003003,649
060014082003005,060014082003003,665
060014082003006,060014082003004,910
060014082003007,060014082003004,10505
060014082003008,060014082003005,10567
060014082003009,060014082003005,374
060014082003010,060014082003005,752
060014082003011,060014082003006,30631
060014083001000,060014083001000,7978
060014083001001,060014083001002,75114
060014083001002,060014083001004,18199
060014083001003,060014083001007,14818
060014083001004,060014083001003,23913
060014083001005,060014083001002,5459
060014083001006,060014083001008,21807
060014083001007,060014083001006,8293
060014083001008,060014083001005,12522
060014083001009,060014083001009,23832
060014083001010,060014083001010,28369
060014083001011,060014083001011,18846
060014083002000,060014083002001,4444
060014083002001,060014083002002,947
060014083002002,060014083002007,10484
060014083002003,060014083002002,210383
060014083002004,060014083002006,24895
060014083002005,060014083002003,22915
060014083002006,060014083002005,23043
060014083002007,060014083002004,18946
060014083002008,060014083002002,346
060014083002009,060014083002009,12135
060014083002010,060014083002008,11275
060014083002011,060014083002010,15317
060014083002012,060014083002011,14583
060014083002013,060014083002012,13126
060014083002014,060014083002013,13573
060014083002015,060014083002014,31927
060014083002016,060014083002015,34028
060014083003000,060014083003000,441
060014083003001,060014083003002,448
060014083003002,060014083003002,25097
060014083003003,060014083003002,363
060014083003004,060014083003001,65347
060014083003005,060014083003000,41862
060014083003006,060014083003004,43776
060014083003007,060014083003005,11256
060014083003008,060014083003006,43203
060014083003009,060014083003007,34684
060014083003010,060014083003008,55343
060014083003011,060014083003009,80793
060014083003012,060014083003001,83
060014083003013,060014083003003,1211
060014083004000,060014083004000,8584
060014083004001,060014083004000,12139
060014083004002,060014083004001,72181
060014083004003,060014083004006,38862
060014083004004,060014083004005,34388
060014083004005,060014083004002,24730
060014083004006,060014083004003,1602
060014083004007,060014083004004,2215
060014083005000,060014083005000,927
060014083005001,060014083005000,21731
060014083005002,060014083005001,43199
060014083005003,060014083005002,14527
060014083005004,060014083005002,747
060014083005005,060014083005004,786
060014083005006,060014083005004,14910
060014083005007,060014083005005,15931
060014083005008,060014083005005,634
060014083005009,060014083005003,16020
060014083005010,060014083005007,30587
060014083005011,060014083005006,33079
060014083005012,060014083005006,829
060014083005013,060014083005006,623
060014083005014,060014083005006,697
060014083005015,060014083005004,750
060014083005016,060014083005004,434
060014084001000,060014084001000,2205
060014084001001,060014084001001,12410
060014084001002,060014084001002,13213
060014084001003,060014084001003,14313
060014084001004,060014084001004,19561
060014084001005,060014084001005,19765
060014084001006,060014084001006,18863
060014084001007,060014084001007,19028
060014084001008,060014084001008,19909
060014084001009,060014084001009,4169
060014084001010,060014084001010,1815
060014084001011,060014084001011,8781
060014084001012,060014084001012,8667
060014084001013,060014084001013,8715
060014084001014,060014084001014,4109
060014084001015,060014084001014,878
060014084001016,060014084001015,332
060014084001017,060014084001015,3072
060014084001018,060014084001016,1605
060014084001019,060014084001017,1548
060014084001020,060014084001018,8612
060014084002000,060014084002000,17980
060014084002001,060014084002001,18416
060014084002002,060014084002002,18157
060014084002003,060014084002003,18822
060014084002004,060014084002004,8584
060014084002005,060014084002005,8902
060014084002006,060014084002006,1616
060014084002007,060014084002007,1600
060014084002008,060014084002008,1948
060014084002009,060014084002009,8578
060014084002010,060014084002010,19229
060014084003000,060014084003000,46465
060014084003001,060014084003001,21591
060014084003002,060014084003001,22626
060014084003003,060014084003002,12874
060014084003004,060014084003003,13065
060014084003005,060014084003004,10812
060014084003006,060014084003005,24705
060014084003007,060014084003006,26868
060014084003008,060014084003006,473
060014084003009,060014084003007,1886
060014084003010,060014084003008,1928
060014084003011,060014084003009,4408
060014084003012,060014084003010,12119
060014084003013,060014084003011,25772
060014084003014,060014084003012,1666
060014085001000,060014085001000,1126
060014085001001,060014085001003,1236
060014085001002,060014085001002,22068
060014085001003,060014085001001,21535
060014085001004,060014085001001,8761
060014085001005,060014085001006,19611
060014085001006,060014085001004,3402
060014085001007,060014085001005,7884
060014085001008,060014085001011,13146
060014085001009,060014085001007,18325
060014085001010,060014085001008,24005
060014085001011,060014085001010,1533
060014085002000,060014085002000,71226
060014085002001,060014085002002,7096
060014085002002,060014085002007,6820
060014085002003,060014085002004,64905
060014085002004,060014085002012,6248
060014085002005,060014085002008,16840
060014085002006,060014085002009,17821
060014085002007,060014085002010,15794
060014085002008,060014085002005,15507
060014085003000,060014085003000,14769
060014085003001,060014085003001,16632
060014085003002,060014085003002,16744
060014085003003,060014085003003,22610
060014085003004,060014085003004,27557
060014085003005,060014085003005,13798
060014085003006,060014085003006,11920
060014085004000,060014085004000,10676
060014085004001,060014085004001,11731
060014085004002,060014085004002,10956
060014085004003,060014085004003,11858
060014085004004,060014085004004,34484
060014085004005,060014085004005,9965
060014085004006,060014085004006,9184
060014085004007,060014085004007,11292
060014085004008,060014085004007,204
060014085005000,060014085005000,1356
060014085005001,060014085005001,1091
060014085005002,060014085005002,2167
060014085005003,060014085005003,1526
060014085005004,060014085005004,39459
060014085005005,060014085005005,25346
060014085005006,060014085005006,25511
060014085005007,060014085005007,26988
060014085005008,060014085005008,40560
060014085005009,060014085005009,12621
060014086001000,060014086001000,118656
060014086001001,060014086001001,14110
060014086001002,060014086001000,810
060014086001003,060014086001003,15897
060014086001004,060014086001004,21081
060014086001005,060014086001005,2811
060014086001006,060014086001006,1079
060014086001007,060014086001000,790
060014086001008,060014086001008,19566
060014086001009,060014086001009,13283
060014086001010,060014086001010,16944
060014086001011,060014086001011,1202
060014086001012,060014086001012,1353
060014086001013,060014086001013,5715
060014086001014,060014086001007,131892
060014086001015,060014086001014,16680
060014086001016,060014086001015,31448
060014086001017,060014086001016,35061
060014086001018,060014086001017,35777
060014086001019,060014086001018,15747
060014086001020,060014086001019,10928
060014086002000,060014086002000,27472
060014086002001,060014087002012,2083
060014086002002,060014086002006,26169
060014086002003,060014086002005,24933
060014086002004,060014086002001,27239
060014086002005,060014086002002,28722
060014086002006,060014086002003,13852
060014086002007,060014086002004,10707
060014086002008,060014086002007,24844
060014086002009,060014086002008,26359
060014086002010,060014086002009,17913
060014086003000,060014086003000,34070
060014086003001,060014086003001,26930
060014086003002,060014086003002,27610
060014086003003,060014086003003,22189
060014086003004,060014086003004,23352
060014086003005,060014086003005,21535
060014086003006,060014086003006,6476
060014086004000,060014086004000,16598
060014086004001,060014086004001,27482
060014086004002,060014086004002,28452
060014086004003,060014086004003,14202
060014086004004,060014086004004,16123
060014086004005,060014086004005,19269
060014086004006,060014086004006,26557
060014087001000,060014087001000,17540
060014087001001,060014087001000,557
060014087001002,060014087001007,12014
060014087001003,060014087001001,16644
060014087001004,060014087001002,18614
060014087001005,060014087001003,21333
060014087001006,060014087001004,24463
060014087001007,060014087001004,825
060014087001008,060014087001003,786
060014087001009,060014087001006,654
060014087001010,060014087001001,544
060014087001011,060014087001006,23682
060014087001012,060014087001008,40580
060014087001013,060014087001011,10788
060014087001014,060014087001012,16453
060014087001015,060014087001010,25230
060014087001016,060014087001009,30804
060014087001017,060014087001005,24988
060014087002000,060014087002000,1163
060014087002001,060014087002001,12066
060014087002002,060014087002002,15358
060014087002003,060014087002003,24069
060014087002004,060014087002003,740
060014087002005,060014087002002,542
060014087002006,060014087002007,632
060014087002007,060014087002007,11129
060014087002008,060014087002006,16544
060014087002009,060014087002005,21243
060014087002010,060014087002008,26075
060014087002011,060014087002009,24347
060014087002012,060014087002010,25239
060014087002013,060014087002011,3282
060014087002014,060014087002012,1502
060014087003000,060014087003000,15475
060014087003001,060014087003002,14915
060014087003002,060014087003003,15076
060014087003003,060014087003004,1788
060014087003004,060014087003009,365
060014087003005,060014087003009,26630
060014087003006,060014087003005,8586
060014087003007,060014087003009,2421
060014087003008,060014087003008,36998
060014087003009,060014087003007,31924
060014087004000,060014087004000,21554
060014087004001,060014087004001,25076
060014087004002,060014087004002,9411
060014087004003,060014087004003,9672
060014087004004,060014087004004,26682
060014087004005,060014087004005,13624
060014087004006,060014087004006,9327
060014087004007,060014087004007,11811
060014087004008,060014087004008,16183
060014087005000,060014087005000,28850
060014087005001,060014087005001,16102
060014087005002,060014087005003,21114
060014087005003,060014087005004,16598
060014087005004,060014087005005,19090
060014087005005,060014087005006,25620
060014087005006,060014087005008,9179
060014087005007,060014087005009,12753
060014087005008,060014087005008,9105
060014087006000,060014087006000,594
060014087006001,060014087006001,856
060014087006002,060014087006002,851
060014087006003,060014087006003,966
060014087006004,060014087006004,879
060014087006005,060014087006004,6491
060014087006006,060014087006005,2477
060014087006007,060014087006006,824
060014087006008,060014087006007,10554
060014087006009,060014087006008,14132
060014087006010,060014087006009,2529
060014087006011,060014087006006,787
060014087006012,060014087006003,9230
060014087006013,060014087006002,9114
060014087006014,060014087006001,9391
060014087006015,060014087006000,7093
060014087006016,060014087006012,724
060014087006017,060014087006011,898
060014087006018,060014087006002,865
060014087006019,060014087006010,8598
060014087006020,060014087006012,35084
060014087006021,060014087006011,14515
060014087006022,060014087006013,14105
060014087006023,060014087006014,14184
060014088001000,060014088001000,920
060014088001001,060014088001001,8437
060014088001002,060014088001002,10427
060014088001003,060014088001000,600
060014088001004,060014088001003,403
060014088001005,060014088001003,703
060014088001006,060014088001004,12444
060014088001007,060014088001003,398
060014088001008,060014088001006,1193
060014088001009,060014088001005,14963
060014088001010,060014088001013,15152
060014088001011,060014088001012,14817
060014088001012,060014088001007,14951
060014088001013,060014088001008,14932
060014088001014,060014088001009,14780
060014088001015,060014088001010,15119
060014088001016,060014088001011,14892
060014088001017,060014088001014,15183
060014088002000,060014088002000,14961
060014088002001,060014088002001,15054
060014088002002,060014088002002,14878
060014088002003,060014088002003,14884
060014088002004,060014088002004,44572
060014088002005,060014089002016,952
060014088002006,060014088002009,29621
060014088002007,060014088002008,28424
060014088002008,060014088003007,3248
060014088002009,060014088003007,3577
060014088002010,060014088002008,3796
060014088002011,060014088002007,1645
060014088002012,060014088002007,2675
060014088002013,060014088002006,15032
060014088002014,060014088002005,14851
060014088002015,060014089002016,5008
060014088002016,060014089002025,9708
060014088002017,060014089002025,5169
060014088002018,060014089002024,3372
060014088002019,060014089001010,534
060014088002020,060014088002013,546
060014088002021,060014088002014,4684
060014088002022,060014088002015,2031
060014088002023,060014088002010,2568
060014088002024,060014088002011,8190
060014088002025,060014088002012,81715
060014088003000,060014088003000,768
060014088003001,060014088003002,34295
060014088003002,060014088003000,575
060014088003003,060014088003001,1594
060014088003004,060014088003005,415
060014088003005,060014088003003,18561
060014088003006,060014088003004,97934
060014088003007,060014088003005,1286
060014088003008,060014088003006,1638
060014088003009,060014088003007,64945
060014088003010,060014088003008,496
060014088003011,060014088003008,15031
060014088003012,060014088002007,3721
060014088004000,060014088004000,919
060014088004001,060014088004000,556
060014088004002,060014088004005,15378
060014088004003,060014088004001,13777
060014088004004,060014088004007,16316
060014088004005,060014088004006,16145
060014088004006,060014088004009,15856
060014088004007,060014088004004,17037
060014088004008,060014088004002,1000
060014088004009,060014088004000,380
060014088004010,060014088004010,29166
060014088004011,060014088004011,856
060014088004012,060014088004003,1071
060014088004013,060014088004017,17920
060014088004014,060014088004014,154949
060014088004015,060014088004013,9545
060014088004016,060014088004008,25185
060014088004017,060014088004008,49881
060014088004018,060014088004016,2037
060014088004019,060014088004015,7010
060014088004020,060014088004013,42987
060014088004021,060014088004012,1204
060014088004022,060014088004011,387
060014088004023,060014088004012,258
060014089001000,060014089001001,41673
060014089001001,060014089001000,905
060014089001002,060014089001000,1234
060014089001003,060014089001002,26951
060014089001004,060014089001003,55468
060014089001005,060014089001004,1128
060014089001006,060014089001004,343
060014089001007,060014089001005,25109
060014089001008,060014089001006,217030
060014089001009,060014089001007,2498
060014089001010,060014089001008,45803
060014089001011,060014089001009,20072
060014089001012,060014089001010,4175
060014089001013,060014089001012,22938
060014089002000,060014089002000,253
060014089002001,060014089002000,1715
060014089002002,060014089002001,22438
060014089002003,060014089002002,4718
060014089002004,060014089002003,7188
060014089002005,060014089002004,12133
060014089002006,060014089002005,6069
060014089002007,060014089002006,11887
060014089002008,060014089002007,15638
060014089002009,060014089002008,21457
060014089002010,060014089002000,607
060014089002011,060014089002010,567
060014089002012,060014089002012,11858
060014089002013,060014089002013,5909
060014089002014,060014089002014,12196
060014089002015,060014089002015,10841
060014089002016,060014089002016,2605
060014089002017,060014089002017,9659
060014089002018,060014089002018,15113
060014089002019,060014089002011,14976
060014089002020,060014089002020,14734
060014089002021,060014089002021,14504
060014089002022,060014089002009,21651
060014089002023,060014089002010,447
060014089002024,060014089002010,532
060014089002025,060014089002010,813
060014089002026,060014089002023,27148
060014089002027,060014089002022,15754
060014089002028,060014089002026,34070
060014089002029,060014089002019,15034
060014089002030,060014089002026,904
060014089002031,060014089002026,984
060014090001000,060014090001000,398
060014090001001,060014090001000,364
060014090001002,060014090001001,437
060014090001003,060014090001001,10184
060014090001004,060014090001003,8063
060014090001005,060014090001000,110548
060014090001006,060014090001008,318273
060014090001007,060014090001006,9666
060014090001008,060014090001009,10031
060014090001009,060014090001022,9901
060014090001010,060014090001005,10037
060014090001011,060014090001007,9438
060014090001012,060014090001003,127822
060014090001013,060014090001003,962
060014090001014,060014090001002,1573
060014090001015,060014090001011,215805
060014090001016,060014090001010,103066
060014090001017,060014090001013,10385
060014090001018,060014090001014,22401
060014090001019,060014090001011,10684
060014090001020,060014090001012,8693
060014090001021,060014090001023,9955
060014090001022,060014090001024,10237
060014090001023,060014090001021,14807
060014090001024,060014090001027,18958
060014090001025,060014090001026,9548
060014090001026,060014090001025,13487
060014090001027,060014090001025,325
060014090001028,060014090001028,26423
060014090001029,060014090001028,436
060014090001030,060014090001020,33652
060014090001031,060014090001020,667
060014090001032,060014090001020,697
060014090001033,060014090001029,14081
060014090001034,060014090001019,23750
060014090001035,060014090001030,20109
060014090001036,060014090001031,11128
060014090001037,060014090001018,1766
060014090001038,060014090001011,19696
060014090002000,060014090003000,0
060014090002001,060014090003000,6835
060014090002002,060014090003005,0
060014090002003,060014090003005,0
060014090002004,060014090003001,534488
060014090002005,060014090003004,0
060014090002006,060014090003003,22952
060014090002007,060014090003013,8901
060014090002008,060014090003013,37161
060014090002009,060014090003024,31690
060014090002010,060014090003011,105887
060014090002011,060014090003012,98172
060014090002012,060014090003002,5481
060014090002013,060014090003001,221209
060014090002014,060014090003002,4497
060014090002015,060014090003010,3690
060014090002016,060014090003025,14765
060014090002017,060014090003025,18200
060014090002018,060014090003026,20784
060014090002019,060014090003026,14768
060014090002020,060014090003027,377776
060014090002021,060014090003030,5606
060014090002022,060014090003032,11722
060014090002023,060014090003028,29558
060014090002024,060014090003029,7556
060014090002025,060014090003033,9335
060014090002026,060014090003033,89595
060014090002027,060014090003026,9120
060014090002028,060014090003031,447
060014090002029,060014090003031,19981
060014090002030,060014090003030,7596
060014090002031,060014090003008,130935
060014090002032,060014090003009,120088
060014090002033,060014090003006,1176292
060014090002034,060014090003006,5925
060014090002035,060014090003006,333
060014090002036,060014090003017,2547
060014090002037,060014090003007,1319
060014090002038,060014090003015,5382
060014090002039,060014090003016,205568
060014090002040,060014090003017,3671
060014090002041,060014090003031,104195
060014090002042,060014090003031,17441
060014090002043,060014090003035,133912
060014090002044,060014090003034,3169
060014090002045,060014090003034,2838
060014090002046,060014090003023,3261
060014090002047,060014090003034,4208
060014090002048,060014090003034,3335
060014090002049,060014090003023,1932
060014090002050,060014090003061,107105
060014090002051,060014090003062,0
060014090002052,060014090003068,3808
060014090002053,060014090003024,25128
060014090002054,060014090003024,212
060014090002055,060014090003003,5685
060014090002056,060014090003003,26071
060014090003000,060014090003037,93691
060014090003001,060014090003044,24005
060014090003002,060014090003047,28297
060014090003003,060014090003045,25853
060014090003004,060014090003046,16253
060014090003005,060014090003041,19234
060014090003006,060014090003042,5943
060014090003007,060014090003040,6992
060014090003008,060014090003043,13915
060014090003009,060014090003022,5078
060014090003010,060014090003036,45573
060014090003011,060014090003048,124597
060014090003012,060014090003021,2856
060014090003013,060014090003050,153447
060014090003014,060014090003056,655
060014090003015,060014090003055,1442
060014090003016,060014090003057,780
060014090003017,060014090003058,75619
060014090003018,060014090003060,10524
060014090003019,060014090003059,16812
060014090003020,060014090003066,3677
060014090003021,060014090003051,3480
060014090003022,060014090003018,6170
060014090003023,060014090003052,39565
060014090003024,060014090003053,531
060014090003025,060014090003054,1825
060014090003026,060014090003055,751
060014090003027,060014090003055,96242
060014090003028,060014090003056,23170
060014090003029,060014090003057,28751
060014090003030,060014090003058,36358
060014090003031,060014090003063,3537
060014090004000,060014090002000,221777
060014090004001,060014090002002,11594
060014090004002,060014090002003,25815
060014090004003,060014090002007,13955
060014090004004,060014090002024,3069291
060014090004005,060014090002005,9337
060014090004006,060014090002006,825
060014090004007,060014090002029,50809
060014090004008,060014090002031,27266
060014090004009,060014090002029,86517
060014090004010,060014090002011,10331
060014090004011,060014090002029,92153
060014090004012,060014090002007,9027
060014090004013,060014090002026,12447
060014090004014,060014090002006,48627
060014090004015,060014090002009,56970
060014090004016,060014090002008,3702
060014090004017,060014090002012,25535
060014090004018,060014090002039,0
060014090004019,060014090002004,7840
060014090004020,060014090002010,10032
060014090004021,060014090002033,2403
060014090004022,060014090002033,185
060014090004023,060014090002000,11816
060014090004024,060014090002001,8585
060014090004025,060014090002045,4030
060014090004026,060014090002044,9770
060014090004027,060014090002032,4179
060014090004028,060014324003003,2148
060014090004029,060014324003004,686
060014090004030,060014324003003,692
060014090004031,060014090002024,944251
060014090004032,060014090002028,9731
060014090004033,060014090002035,7490
060014090004034,060014090002024,1293
060014090004035,060014090002042,8830
060014090004036,060014090002042,374
060014090004037,060014090002041,15118
060014090004038,060014090002000,2650
060014090004039,060014090002000,13040
060014090004040,060014090002014,5239
060014090004041,060014090002015,19813
060014090004042,060014283014030,0
060014091001000,060014091001000,1754
060014091001001,060014091001001,48757
060014091001002,060014091001005,575
060014091001003,060014091001002,1205
060014091001004,060014091001004,1264
060014091001005,060014091001003,74720
060014091001006,060014091001003,789
060014091001007,060014091001006,26459
060014091001008,060014091001007,8387
060014091001009,060014091001001,501
060014091001010,060014091001008,11150
060014091001011,060014091001005,16883
060014091001012,060014091001009,77261
060014091001013,060014091001010,11812
060014091001014,060014091001011,2696
060014091001015,060014091001012,14167
060014091002000,060014091002000,9787
060014091002001,060014091002000,806
060014091002002,060014091002000,10812
060014091002003,060014091002003,19461
060014091002004,060014091002002,9169
060014091002005,060014091002009,18952
060014091002006,060014091002010,15906
060014091002007,060014091002008,25654
060014091002008,060014091002007,9890
060014091002009,060014091002005,7663
060014091002010,060014091002006,2070
060014091002011,060014091002004,19483
060014091002012,060014091002011,15356
060014091002013,060014091002012,11788
060014091002014,060014091002013,12095
060014092001000,060014092001000,99629
060014092001001,060014092001002,12934
060014092001002,060014092001009,18499
060014092001003,060014092001006,24450
060014092001004,060014092001001,12852
060014092001005,060014092001011,21302
060014092001006,060014092001005,20910
060014092001007,060014092001008,29211
060014092001008,060014092001003,27426
060014092001009,060014092001012,19483
060014092001010,060014092001007,9130
060014092001011,060014092001000,114405
060014092001012,060014092001004,15621
060014092001013,060014092001010,11415
060014092001014,060014092001000,1843
060014092001015,060014323003009,6020
060014092002000,060014092002001,18262
060014092002001,060014092002002,718
060014092002002,060014092002002,35941
060014092002003,060014092002003,173875
060014092002004,060014092002003,380
060014092002005,060014092002005,4829
060014092002006,060014092002003,3125
060014092002007,060014092002004,7381
060014092002008,060014092002002,12898
060014092002009,060014092002006,2818
060014093001000,060014093001000,1483
060014093001001,060014093001001,1339
060014093001002,060014093001003,1586
060014093001003,060014093001002,30305
060014093001004,060014093001002,27982
060014093001005,060014093001002,495
060014093001006,060014093001006,602
060014093001007,060014093001005,68936
060014093001008,060014093001004,706
060014093001009,060014093001003,363
060014093001010,060014093001008,19875
060014093001011,060014093001009,21609
060014093001012,060014093001010,570
060014093001013,060014093001004,1663
060014093001014,060014093001007,21516
060014093001015,060014093001007,578
060014093001016,060014093001006,21542
060014093001017,060014093001010,851
060014093002000,060014093002001,15906
060014093002001,060014093002000,788
060014093002002,060014093002000,1042
060014093002003,060014093002003,5581
060014093002004,060014093002009,14876
060014093002005,060014093002008,14741
060014093002006,060014093002002,10138
060014093002007,060014093002012,1145
060014093002008,060014093002004,667
060014093002009,060014093002004,5781
060014093002010,060014093002005,1143
060014093002011,060014093002006,1114
060014093002012,060014093002007,5518
060014093002013,060014093002010,9780
060014093002014,060014093002011,10348
060014093002015,060014093002014,14861
060014093002016,060014093002013,1679
060014093002017,060014093002016,34815
