zcta,BlockCode,TechCategory,max_ad_down,max_ad_up
94501,060014272002002,Fiber to the Premises,1000.0,1000.0
94501,060014272002003,Copper (DSL/VDSL),18.0,1.5
94501,060014272002003,Fiber to the Premises,1000.0,1000.0
94501,060014272002005,Copper (DSL/VDSL),18.0,1.5
94501,060014272002005,Fiber to the Premises,1000.0,1000.0
94501,060014272002006,Copper (DSL/VDSL),18.0,1.5
94501,060014272002006,Fiber to the Premises,1000.0,1000.0
94501,060014272002009,Copper (DSL/VDSL),100.0,20.0
94501,060014272002009,Fiber to the Premises,1000.0,1000.0
94501,060014272002010,Copper (DSL/VDSL),100.0,20.0
94501,060014272002010,Fiber to the Premises,1000.0,1000.0
94501,060014272003000,Copper (DSL/VDSL),75.0,20.0
94501,060014272003000,Fiber to the Premises,1000.0,1000.0
94501,060014272003001,Copper (DSL/VDSL),75.0,20.0
94501,060014272003001,Fiber to the Premises,1000.0,1000.0
94501,060014272003002,Copper (DSL/VDSL),100.0,20.0
94501,060014272003002,Fiber to the Premises,1000.0,1000.0
94501,060014272003003,Copper (DSL/VDSL),100.0,20.0
94501,060014272003003,Fiber to the Premises,1000.0,1000.0
94501,060014272003004,Copper (DSL/VDSL),50.0,10.0
94501,060014272003004,Fiber to the Premises,1000.0,1000.0
94501,060014272003005,Copper (DSL/VDSL),100.0,20.0
94501,060014272003005,Fiber to the Premises,1000.0,1000.0
94501,060014272003006,Copper (DSL/VDSL),50.0,10.0
94501,060014272003006,Fiber to the Premises,1000.0,1000.0
94501,060014272003007,Copper (DSL/VDSL),50.0,10.0
94501,060014272003007,Fiber to the Premises,1000.0,1000.0
94501,060014272003012,Copper (DSL/VDSL),75.0,20.0
94501,060014272003012,Fiber to the Premises,1000.0,1000.0
94501,060014272003013,Fiber to the Premises,1000.0,1000.0
94501,060014272003014,Copper (DSL/VDSL),50.0,10.0
94501,060014272003014,Fiber to the Premises,1000.0,1000.0
94501,060014272003015,Copper (DSL/VDSL),50.0,10.0
94501,060014272003015,Fiber to the Premises,1000.0,1000.0
94501,060014272003016,Fiber to the Premises,1000.0,1000.0
94501,060014272003017,Copper (DSL/VDSL),100.0,20.0
94501,060014272003017,Fiber to the Premises,1000.0,1000.0
94501,060014272004000,Copper (DSL/VDSL),100.0,20.0
94501,060014272004000,Fiber to the Premises,1000.0,1000.0
94501,060014272004001,Copper (DSL/VDSL),18.0,1.5
94501,060014272004002,Copper (DSL/VDSL),50.0,10.0
94501,060014272004003,Copper (DSL/VDSL),50.0,10.0
94501,060014272004006,Copper (DSL/VDSL),75.0,20.0
94501,060014272004008,Copper (DSL/VDSL),100.0,20.0
94501,060014272004008,Fiber to the Premises,1000.0,1000.0
94501,060014272004010,Copper (DSL/VDSL),10.0,1.0
