ratio_col,ratio_label,n,spearman_rho,p_value
performance_ratio,median measured / advertised,47,-0.2177382053654024,0.14149481484423657
performance_ratio_p75,P75 measured / advertised,47,-0.21554116558741904,0.14565518447343187
