row_type,density_group,n,mean_mbps,median_mbps,std_mbps,f_statistic,p_value
group,low,15,59.61531613495884,72.40371793470275,31.17885311168117,,
group,medium,17,67.01454113871816,60.96653552698519,27.93585108157061,,
group,high,16,65.04393051620225,67.27527158611176,24.456333103757697,,
anova,all,48,,,,0.29527349751753573,0.7457589855222497
