ratio_col,ratio_label,n,spearman_rho,p_value
performance_ratio,median measured / advertised,46,0.21800801726796176,0.14553572727558234
performance_ratio_p75,P75 measured / advertised,46,0.2527906259636139,0.09007963788706756
