GEOID,ZCTA,LAND_AREA
060014007001000,94609,12552
060014007001001,94609,1016
060014007001002,94608,5987
060014007001003,94608,2800
060014007001004,94608,6451
060014007001005,94608,14413
060014007001006,94609,2125
060014007001007,94609,1987
060014007001008,94609,20903
060014007001009,94609,21272
060014007001010,94609,2040
060014007001011,94608,15621
060014007001012,94608,5395
060014007001013,94608,20221
060014007001014,94608,2080
060014007001015,94608,2010
060014007001016,94608,21118
060014007001017,94608,7692
060014007001018,94608,2458
060014007001019,94608,1572
060014007001020,94608,6863
060014007001021,94608,952
060014007001022,94608,9035
060014007001023,94608,6371
060014007001024,94608,9342
060014007001025,94608,1564
060014007001026,94608,1371
060014007001027,94608,9888
060014007001028,94608,2874
060014007001029,94609,1527
060014007002000,94609,20733
060014007002001,94609,1895
060014007002002,94609,2093
060014007002003,94608,13014
060014007002004,94608,8037
060014007002005,94608,8412
060014007002006,94608,32308
060014007002007,94608,1322
060014007002008,94608,15686
060014007002009,94608,2900
060014007002010,94608,10573
060014007002011,94608,13073
060014007002012,94609,4956
060014007002013,94609,48731
060014007002014,94608,15554
060014007002015,94608,1127
060014007002016,94608,15750
060014007002017,94608,12980
060014007002018,94608,13039
060014007002019,94608,13180
060014007002020,94608,5117
060014007003000,94609,18132
060014007003001,94609,1630
060014007003002,94608,13439
060014007003003,94608,15671
060014007003004,94608,4214
060014007003005,94608,14424
060014007003006,94609,18006
060014007003007,94609,1854
060014007003008,94608,16259
060014007003009,94608,18398
060014007003010,94608,9983
060014007003011,94608,7334
060014007004000,94609,2001
060014007004001,94609,19841
060014007004002,94609,2104
060014007004003,94608,1445
060014007004004,94609,19460
060014007004005,94609,16334
060014007004006,94609,2247
060014007004007,94609,2157
060014007004008,94608,18176
060014007004009,94608,16420
060014007004010,94608,18565
060014007004011,94608,1616
060014007004012,94608,15746
060014007004013,94608,6290
060014007004014,94608,2003
060014007004015,94608,20114
060014007004016,94608,21797
060014007004017,94608,18773
060014007004018,94608,1246
060014007004019,94609,2520
060014007004020,94608,18065
060014007004021,94608,19508
060014008001000,94608,547
060014008001001,94608,8051
060014008001002,94608,614
060014008001003,94608,1944
060014008001004,94608,10127
060014008001005,94608,23249
060014008001006,94608,1292
060014008001007,94608,1396
060014008001008,94608,1519
060014008001009,94608,23577
060014008001010,94608,14218
060014008001011,94608,7159
060014008001012,94608,17180
060014008001013,94608,22706
060014008001014,94608,1569
060014008001015,94608,13320
060014008001016,94608,27953
060014008001017,94608,1300
060014008001018,94608,6721
060014008001019,94608,3659
060014008001020,94608,7189
060014008001021,94608,13110
060014008001022,94608,15849
060014008001023,94608,13604
060014008001024,94608,368
060014008001025,94608,8297
060014008001026,94608,772
060014008001027,94608,8154
060014008001028,94608,1008
060014008001029,94608,1310
060014008002000,94608,16461
060014008002001,94608,37272
060014008002002,94608,74409
060014008002003,94608,15663
060014008002004,94608,7513
060014008002005,94608,2773
060014008002006,94608,7512
060014008002007,94608,15180
060014008002008,94608,16300
060014008002009,94608,8175
060014008002010,94608,6217
060014008002011,94608,6200
060014008002012,94608,6177
060014008003000,94608,31528
060014008003001,94608,15640
060014008003002,94608,13113
060014008003003,94608,1934
060014008003004,94608,13657
060014008003005,94608,12962
060014008003006,94608,12437
060014008003007,94608,16487
060014008003008,94608,15865
060014008003009,94608,14749
060014008003010,94608,2292
060014008003011,94608,13453
060014008003012,94608,16193
060014008003013,94608,25247
060014008003014,94608,3766
060014008003015,94608,25116
060014008003016,94608,7823
060014008003017,94608,1862
060014008003018,94608,1334
060014008003019,94608,2745
060014009001000,94608,7094
060014009001001,94608,14038
060014009001002,94608,12497
060014009001003,94608,11899
060014009001004,94608,16737
060014009001005,94608,15101
060014009001006,94608,15152
060014009001007,94608,11898
060014009001008,94608,29378
060014009001009,94608,14615
060014009001010,94608,17961
060014009001011,94608,3819
060014009001012,94608,14298
060014009001013,94608,22740
060014009002000,94608,24933
060014009002001,94608,14904
060014009002002,94608,1955
060014009002003,94608,17754
060014009002004,94608,18253
060014009002005,94608,19547
060014009002006,94608,17381
060014009002007,94608,11987
060014009002008,94608,27508
060014009002009,94608,1127
060014009002010,94608,17096
060014009002011,94608,11243
060014009002012,94608,16818
060014010001000,94609,10559
060014010001001,94609,50186
060014010001002,94609,9653
060014010001003,94608,43270
060014010001004,94608,24611
060014010001005,94608,24840
060014010001006,94609,18708
060014010001007,94609,14168
060014010001008,94608,8674
060014010002000,94609,15743
060014010002001,94608,2608
060014010002002,94608,21662
060014010002003,94608,17585
060014010002004,94608,3984
060014010002005,94608,3313
060014010002006,94608,19539
060014010002007,94608,20863
060014010002008,94609,15331
060014010002009,94608,2177
060014010002010,94609,22164
060014010003000,94609,15658
060014010003001,94608,2689
060014010003002,94608,20770
060014010003003,94608,18615
060014010003004,94608,5237
060014010003005,94608,24159
060014010003006,94608,20758
060014010003007,94608,3195
060014010003008,94609,15243
060014010003009,94609,20476
060014010003010,94608,9842
060014010003011,94608,15210
060014010003012,94608,22593
060014010003013,94608,5290
060014010003014,94608,2927
060014010004000,94609,19709
060014010004001,94609,17340
060014010004002,94608,2138
060014010004003,94609,1473
060014010004004,94609,2965
060014010004005,94609,18129
060014010004006,94608,4537
060014010004007,94609,17112
060014010004008,94609,25579
060014010004009,94609,7048
060014010004010,94609,22131
060014010004011,94608,3214
060014010005000,94609,1291
060014010005001,94609,2605
060014010005002,94608,3008
060014010005003,94608,3665
060014010005004,94608,5211
060014010005005,94608,22416
060014010005006,94608,24118
060014010005007,94609,22528
060014010005008,94609,29491
060014010005009,94609,33179
060014010005010,94608,22814
060014010005011,94608,4333
060014010005012,94608,23316
060014010005013,94608,5135
060014010005014,94608,9367
060014010005015,94608,8684
060014010006000,94608,7745
060014010006001,94608,16242
060014010006002,94608,23405
060014010006003,94608,8065
060014010006004,94608,8953
060014010006005,94608,2141
060014010006006,94608,2236
060014010006007,94608,13547
060014010006008,94608,28358
060014010006009,94608,33742
060014010006010,94608,16975
060014010006011,94608,15887
060014010006012,94608,1173
060014010006013,94608,27047
060014010006014,94608,1562
060014010006015,94608,27086
060014011001000,94609,1385
060014011001001,94609,1605
060014011001002,94609,17129
060014011001003,94609,8788
060014011001004,94609,9586
060014011001005,94609,17477
060014011001006,94609,18285
060014011001007,94609,1252
060014011001008,94609,38534
060014011001009,94609,1623
060014011001010,94609,26705
060014011001011,94609,26373
060014011002000,94609,29274
060014011002001,94609,33163
060014011002002,94609,13010
060014011002003,94609,28527
060014011002004,94609,1287
060014011002005,94609,1112
060014011002006,94609,1222
060014011002007,94609,23109
060014011002008,94609,23658
060014011002009,94609,25993
060014011002010,94609,1143
060014011002011,94609,1491
060014011003000,94609,12358
060014011003001,94609,12401
060014011003002,94609,16286
060014011003003,94609,2140
060014011003004,94609,1823
060014011003005,94609,13628
060014011003006,94609,41303
060014011003007,94609,16523
060014011003008,94609,29125
060014011003009,94609,26813
060014011003010,94609,1255
060014011003011,94609,27990
060014011004000,94609,2006
060014011004001,94609,1007
060014011004002,94609,25678
060014011004003,94609,26129
060014011004004,94609,14275
060014011004005,94609,19833
060014011004006,94609,12457
060014011004007,94609,6435
060014011004008,94609,30170
060014011004009,94609,11999
060014011004010,94609,26255
060014011004011,94609,10209
060014011004012,94609,5005
060014011004013,94609,7106
060014011004014,94609,13639
060014011004015,94609,23468
060014011004016,94609,10353
060014011004017,94609,14864
060014011004018,94609,6295
060014011004019,94609,2548
060014011004020,94609,1376
060014011004021,94609,2750
060014011004022,94609,21015
060014011004023,94609,6850
060014011004024,94609,18234
060014012001000,94618,6940
060014012001001,94618,8112
060014012001002,94609,1276
060014012001003,94609,1285
060014012001004,94609,2016
060014012001005,94609,1261
060014012001006,94609,15552
060014012001007,94609,11985
060014012001008,94609,6310
060014012001009,94618,2627
060014012001010,94609,8651
060014012001011,94609,10109
060014012001012,94609,11270
060014012001013,94609,26226
060014012001014,94609,13132
060014012001015,94609,10862
060014012001016,94609,8865
060014012001017,94609,106588
060014012001018,94609,25423
060014012001019,94609,22343
060014012001020,94609,7862
060014012001021,94609,9508
060014012001022,94609,3065
060014012001023,94611,8079
060014012002000,94611,4740
060014012002001,94609,6882
060014012002002,94609,22726
060014012002003,94609,20572
060014012002004,94609,19269
060014012002005,94609,19024
060014012002006,94609,8147
060014012002007,94609,7568
060014012002008,94609,6841
060014012002009,94609,7106
060014012002010,94611,4132
060014012002011,94609,10368
060014012002012,94611,7516
060014012003000,94611,1247
060014012003001,94609,7735
060014012003002,94609,1045
060014012003003,94609,1101
060014012003004,94609,19712
060014012003005,94609,18569
060014012003006,94609,6136
060014012003007,94611,19118
060014012003008,94609,5435
060014012003009,94609,18597
060014012003010,94609,15115
060014012003011,94609,1069
060014012003012,94611,57992
060014012003013,94611,1266
060014012003014,94609,15245
060014013001000,94609,5430
060014013001001,94609,8491
060014013001002,94609,4828
060014013001003,94609,1330
060014013001004,94609,5736
060014013001005,94609,43547
060014013001006,94609,1383
060014013001007,94609,24732
060014013001008,94609,52085
060014013001009,94609,15779
060014013001010,94609,14411
060014013001011,94609,11002
060014013001012,94609,36676
060014013001013,94609,16818
060014013001014,94609,9638
060014013001015,94609,1578
060014013001016,94609,11478
060014013001017,94609,46087
060014013001018,94609,1170
060014013001019,94609,24226
060014013001020,94611,32799
060014013001021,94609,11395
060014013001022,94609,15472
060014013001023,94609,18618
060014013001024,94609,15609
060014013001025,94609,2317
060014013001026,94609,15865
060014013002000,94609,35934
060014013002001,94609,5407
060014013002002,94612,6152
060014013002003,94609,8526
060014013002004,94609,1127
060014013002005,94612,3529
060014013002006,94612,4103
060014013002007,94612,20643
060014013002008,94612,3008
060014013002009,94612,3454
060014013002010,94612,10941
060014013002011,94612,20669
060014013002012,94612,13863
060014013002013,94612,17165
060014013002014,94612,17095
060014013002015,94612,15396
060014013002016,94612,9968
060014013002017,94612,2557
060014013003000,94611,17776
060014013003001,94609,11368
060014013003002,94609,36058
060014013003003,94612,2644
060014013003004,94612,4806
060014013003005,94612,10679
060014013003006,94612,4767
060014013003007,94612,25929
060014013003008,94612,25283
060014013003009,94612,23718
060014013003010,94612,7416
060014013003011,94612,12870
060014013003012,94612,14720
060014013003013,94612,7885
060014013003014,94612,7933
060014014001000,94609,15036
060014014001001,94608,10050
060014014001002,94608,6549
060014014001003,94608,1401
060014014001004,94608,26614
060014014001005,94608,24734
060014014001006,94609,29850
060014014001007,94609,21559
060014014001008,94609,40542
060014014001009,94609,16110
060014014001010,94608,21420
060014014001011,94608,17012
060014014001012,94608,1020
060014014001013,94608,2511
060014014002000,94609,14872
060014014002001,94608,3465
060014014002002,94608,20890
060014014002003,94608,13768
060014014002004,94608,1169
060014014002005,94608,14117
060014014002006,94608,22412
060014014002007,94608,2030
060014014002008,94609,12022
060014014002009,94608,1816
060014014002010,94608,7099
060014014002011,94608,28358
060014014002012,94608,2568
060014014002013,94609,22135
060014014002014,94609,21488
060014014002015,94608,27882
060014014002016,94608,3914
060014014002017,94608,25092
060014014002018,94608,1148
060014014002019,94608,3241
060014014002020,94608,3214
060014014002021,94609,20966
060014014003000,94609,5957
060014014003001,94609,10538
060014014003002,94609,8920
060014014003003,94612,31124
060014014003004,94609,2140
060014014003005,94608,6459
060014014003006,94608,14015
060014014003007,94607,11987
060014014003008,94607,1889
060014014003009,94612,10233
060014014003010,94612,11863
060014014003011,94612,3199
060014014003012,94612,16927
060014014003013,94612,8218
060014014003014,94612,5931
060014014003015,94612,18115
060014014003016,94612,11844
060014014003017,94612,17665
060014014003018,94612,3128
060014014003019,94612,18590
060014014003020,94612,1075
060014014003021,94612,13892
060014014003022,94612,11975
060014014003023,94612,1010
060014015001000,94608,1521
060014015001001,94608,1034
060014015001002,94608,1049
060014015001003,94608,1237
060014015001004,94608,1212
060014015001005,94608,3221
060014015001006,94608,3213
060014015001007,94608,10163
060014015001008,94608,2146
060014015001009,94608,11467
060014015001010,94608,13996
060014015001011,94608,1162
060014015001012,94608,14118
060014015001013,94608,19054
060014015001014,94608,19209
060014015001015,94608,3019
060014015001016,94608,19130
060014015001017,94608,1826
060014015001018,94608,14375
060014015001019,94608,19747
060014015001020,94608,1608
060014015002000,94608,16723
060014015002001,94608,19189
060014015002002,94608,19827
060014015002003,94608,19138
060014015002004,94608,1709
060014015002005,94608,19048
060014015002006,94608,19856
060014015002007,94608,14905
060014015002008,94608,4100
060014015003000,94608,18338
060014015003001,94608,18863
060014015003002,94608,19038
060014015003003,94608,19715
060014015003004,94608,19171
060014015003005,94608,1635
060014015003006,94608,19242
060014015003007,94608,20176
060014015003008,94608,16564
060014015003009,94608,4432
060014015003010,94608,5272
060014015003011,94608,1233
060014015003012,94608,6060
060014016001000,94607,10818
060014016001001,94607,18160
060014016001002,94607,16747
060014016001003,94607,34917
060014016001004,94607,17189
060014016001005,94607,1384
060014016001006,94607,17097
060014016001007,94607,17959
060014016001008,94607,14819
060014016001009,94607,1935
060014016001010,94607,14852
060014016001011,94607,1900
060014016001012,94607,18137
060014016001013,94607,8385
060014016001014,94607,2019
060014016001015,94607,14688
060014016001016,94607,17680
060014016001017,94607,17133
060014016001018,94607,1303
060014016001019,94607,16773
060014016001020,94607,17623
060014016001021,94607,16807
060014016001022,94607,16822
060014016001023,94607,16956
060014016001024,94607,1261
060014016001025,94607,14725
060014016001026,94607,5680
060014016001027,94607,20481
060014016002000,94607,24043
060014016002001,94607,16077
060014016002002,94607,16789
060014016002003,94607,17007
060014016002004,94607,18011
060014016002005,94607,17059
060014016002006,94607,1326
060014016002007,94607,17307
060014016002008,94607,17769
060014016002009,94607,14907
060014016002010,94607,1915
060014016002011,94607,33283
060014016002012,94607,1604
060014016002013,94607,29405
060014016002014,94607,17593
060014016002015,94612,12079
060014016002016,94612,1757
060014016002017,94612,3955
060014017001000,94607,35289
060014017001001,94607,30841
060014017001002,94607,106762
060014017001003,94607,20572
060014017001004,94607,13654
060014017001005,94607,7905
060014017001006,94607,6261
060014017001007,94607,13389
060014017001008,94607,13626
060014017001009,94607,11041
060014017001010,94607,4971
060014017001011,94607,7364
060014017001012,94607,3116
060014017001013,94607,2290
060014017001014,94607,1090
060014017002000,94607,25132
060014017002001,94607,54867
060014017002002,94607,1520
060014017002003,94607,25800
060014017002004,94607,25459
060014017002005,94607,1524
060014017002006,94607,1731
060014017002007,94607,24111
060014017002008,94607,22759
060014017002009,94607,46950
060014017002010,94607,23475
060014017002011,94607,11716
060014017002012,94607,12377
060014017002013,94607,10681
060014017002014,94607,4640
060014017002015,94607,6782
060014017002016,94607,5867
060014017002017,94607,5790
060014017002018,94607,11071
060014017002019,94607,11054
060014017002020,94607,12245
060014017002021,94607,11864
060014017002022,94607,11571
060014017002023,94607,11666
060014017002024,94607,10599
060014017002025,94607,12006
060014017002026,94607,28534
060014017003000,94608,4066
060014017003001,94608,426
060014017003002,94608,10890
060014017003003,94608,1666
060014017003004,94608,68542
060014017003005,94608,53614
060014017003006,94608,1604
060014017003007,94608,7617
060014017003008,94608,12119
060014017003009,94608,28006
060014017003010,94608,15360
060014017003011,94607,9600
060014017003012,94607,17609
060014017003013,94607,1683
060014017003014,94607,3212
060014017003015,94607,193127
060014017003016,94607,5750
060014017003017,94607,56784
060014017003020,94607,0
060014017003021,94607,0
060014017003022,94607,0
060014017003023,94607,1552808
060014017003024,94607,54043
060014017003025,94607,35361
060014017003026,94607,1024
060014017003027,94607,14237
060014017003028,94607,10766
060014017003029,94607,33408
060014017003030,94607,50304
060014017003031,94607,13513
060014017003032,94607,47943
060014017003033,94607,527189
060014017003034,94607,7630
060014017003035,94607,10300
060014017003036,94607,22920
060014017003037,94607,53717
060014017003038,94607,2953
060014017003039,94607,79877
060014017003040,94607,368707
060014017003041,94607,80011
060014017003042,94607,84155
060014017003043,94607,49808
060014017003044,94607,2584
060014017003045,94607,29784
060014017003046,94607,42229
060014017003047,94607,9507
060014017003048,94607,26628
060014017003049,94607,24573
060014017003050,94607,1097
060014017003051,94607,17326
060014017003052,94607,1122
060014017003053,94607,38078
060014017003054,94607,7787
060014017003055,94607,1051
060014017003056,94607,1279
060014017003057,94607,14959
060014017003058,94607,9170
060014017003059,94608,17417
060014017003060,94608,7337
060014017003061,94608,1550
060014017003062,94608,18397
060014017003063,94608,10773
060014017003064,94608,7206
060014017003065,94607,4315
060014017003066,94607,140434
060014017003067,94607,26267
060014017003068,94607,38047
060014017003069,94607,4434
060014017003070,94608,20690
060014017003071,94608,2540
060014017003072,94608,14114
060014017003073,94608,12211
060014017003074,94608,52813
060014017003075,94608,29835
060014017003076,94608,19693
060014017003077,94608,12006
060014017003078,94608,2791
060014017003079,94608,2609
060014017003080,94608,11085
060014017003081,94608,20012
060014017003082,94608,19891
060014017003083,94608,20159
060014017003084,94608,24092
060014017003085,94608,20419
060014017003086,94607,59223
060014017003087,94607,23620
060014017003088,94608,4440
060014017003089,94608,2328
060014017003090,94608,2767
060014017003091,94608,2634
060014017003092,94608,3608
060014017003093,94608,4154
060014017003094,94608,4360
060014017003095,94607,10248
060014017003096,94607,3879
060014017003097,94607,2677
060014017003098,94607,20091
060014017003099,94607,24646
060014017003100,94607,23996
060014017003101,94607,23957
060014017003102,94607,13328
060014017003103,94607,6219
060014017003104,94607,3899
060014017003105,94607,1276
060014017003106,94607,21205
060014017003107,94607,21663
060014017003108,94607,2433
060014017003109,94607,4458
060014017003110,94607,22001
060014018001000,94607,1059
060014018001001,94607,10934
060014018001002,94607,11044
060014018001003,94607,1204
060014018001004,94607,1150
060014018001005,94607,10586
060014018001006,94607,12500
060014018001007,94607,13081
060014018001008,94607,12632
060014018001009,94607,1250
060014018001010,94607,12835
060014018001011,94607,1229
060014018001012,94607,12922
060014018001013,94607,12524
060014018001014,94607,1183
060014018001015,94607,13614
060014018001016,94607,13444
060014018001017,94607,12808
060014018002000,94607,13327
060014018002001,94607,13434
060014018002002,94607,10692
060014018002003,94607,5378
060014018002004,94607,10590
060014018002005,94607,16378
060014018002006,94607,10340
060014018002007,94607,6981
060014018002008,94607,6696
060014018002009,94607,26339
060014018002010,94607,8900
060014018002011,94607,13580
060014018002012,94607,2382
060014022001000,94607,6322
060014022001001,94607,13018
060014022001002,94607,1576
060014022001003,94607,9977
060014022001004,94607,9553
060014022001005,94607,3234
060014022001006,94607,1225
060014022001007,94607,11428
060014022001008,94607,1567
060014022001009,94607,10235
060014022001010,94607,9537
060014022001011,94607,8751
060014022001012,94607,11387
060014022001013,94607,11274
060014022001014,94607,9349
060014022001015,94607,25269
060014022001016,94607,28029
060014022001017,94607,9217
060014022001018,94607,6868
060014022001019,94607,12400
060014022002000,94607,11176
060014022002001,94607,9636
060014022002002,94607,16490
060014022002003,94607,1289
060014022002004,94607,13363
060014022002005,94607,11130
060014022002006,94607,10595
060014022002007,94607,9755
060014022002008,94607,1043
060014022003000,94607,2204
060014022003001,94607,1463
060014022003002,94607,2162
060014022003003,94607,13561
060014022003004,94607,14060
060014022003005,94607,186061
060014022003006,94607,12644
060014022003007,94607,16014
060014022003008,94607,17579
060014022003009,94607,16634
060014022003010,94607,3750
060014022003011,94607,39507
060014022003012,94607,10055
060014022003013,94607,30848
060014022003014,94607,19373
060014022003015,94607,15799
060014022003016,94607,16945
060014022003017,94607,12303
060014024001000,94607,1195
060014024001001,94607,1204
060014024001002,94607,1184
060014024001003,94607,1275
060014024001004,94607,1319
060014024001005,94607,12601
060014024001006,94607,11990
060014024001007,94607,10717
060014024001008,94607,10725
060014024001009,94607,11328
060014024001010,94607,23590
060014024001011,94607,23587
060014024001012,94607,23291
060014024001013,94607,24176
060014024001014,94607,22506
060014024001015,94607,1800
060014024002000,94607,14586
060014024002001,94607,14375
060014024002002,94607,14734
060014024002003,94607,15254
060014024002004,94607,14696
060014024002005,94607,1243
060014024002006,94607,1357
060014024002007,94607,31884
060014024002008,94607,15534
060014024002009,94607,14805
060014024002010,94607,16055
060014025001000,94607,6620
060014025001001,94607,77758
060014025001002,94607,1463
060014025001003,94607,1332
060014025001004,94607,15811
060014025001005,94607,16558
060014025001006,94607,16457
060014025001007,94607,1441
060014025001008,94607,28176
060014025001009,94607,1274
060014025001010,94607,59284
060014025001011,94607,1458
060014025001012,94607,11689
060014025001013,94607,6119
060014025001014,94607,12065
060014025001015,94607,6076
060014025002000,94607,18258
060014025002001,94607,22920
060014025002002,94607,7659
060014025002003,94607,4818
060014025002004,94607,32619
060014025002005,94607,12695
060014025002006,94607,2904
060014026001000,94612,9526
060014026001001,94612,10462
060014026001002,94612,4677
060014026001003,94612,11089
060014026001004,94607,3187
060014026001005,94607,1508
060014026001006,94607,9300
060014026001007,94612,6640
060014026001008,94607,6701
060014026001009,94607,1291
060014026001010,94607,2193
060014026001011,94607,10569
060014026001012,94612,2412
060014026001013,94612,6895
060014026001014,94607,6410
060014026001015,94607,2128
060014026001016,94607,50036
060014026001017,94607,2993
060014026001018,94607,1530
060014026001019,94607,2493
060014026001020,94607,1499
060014026001021,94607,10537
060014026001022,94607,9928
060014026001023,94607,1739
060014026001024,94607,19524
060014026001025,94607,5335
060014026001026,94607,2705
060014026001027,94607,4252
060014026001028,94607,9874
060014026001029,94612,10358
060014026001030,94607,3062
060014026001031,94607,3067
060014026001032,94607,2744
060014026001033,94607,3366
060014026001034,94607,2741
060014026001035,94607,1788
060014026001036,94607,4254
060014026001037,94607,13611
060014026001038,94607,15115
060014026001039,94607,2888
060014026001040,94607,9785
060014026001041,94607,9213
060014026001042,94607,7868
060014026001043,94607,4432
