zcta,median_download_mbps,mean_download_mbps,p75_download_mbps,std_download_mbps,var_download_mbps,download_test_count,median_download_latency_ms,mean_download_latency_ms,mlab_year,mlab_month,median_household_income,median_household_income_moe,acs_end_year
94501,50.53844323903797,108.53667010813258,119.40166283643238,151.87627272820154,23066.402217811057,12603,9.642,20.270455129731015,2020,12,96014.0,3712.0,2020
94502,60.96653552698519,95.29475092656382,117.49949619999752,124.28845778692644,15447.620739052594,880,9.721,14.750485227272726,2020,12,161518.0,19564.0,2020
94505,77.01561399247143,172.27497440019312,284.9037051114244,209.2533563666035,43786.96715068876,1056,10.635,16.823744318181816,2020,12,128865.0,4748.0,2020
94514,3.0471987117287176,3.0471987117287176,3.3346297066128057,0.8129776224229386,0.660932614560454,2,29.275,29.275,2020,12,82538.0,39819.0,2020
94536,56.51737012438109,114.97132101656987,129.60402500155084,153.4004464940295,23531.69698456761,24902,8.906,19.522413179664284,2020,12,132568.0,10423.0,2020
94538,57.04514906476214,110.68422785048676,127.305542449576,146.74825114715338,21535.049214748004,27596,9.033,16.993335302217712,2020,12,119206.0,7640.0,2020
94541,52.06498234409311,111.67371059399736,116.13017336287014,152.10281967010258,23135.267751595744,13676,8.896,16.198113702837087,2020,12,82690.0,4432.0,2020
94542,88.51982520007267,130.07732480986814,220.27376746137003,136.59078394987029,18657.04226004014,452,9.135,15.786314159292036,2020,12,115956.0,10534.0,2020
94544,79.57592969895214,137.59687319789555,180.20351194676812,170.73547939031093,29150.60392263929,9226,9.6295,13.94435876869716,2020,12,89657.0,4970.0,2020
94545,42.13303914396434,86.00084964724626,89.490509045903,132.45440820768655,17544.170253648466,2408,7.801,18.216599252491697,2020,12,88764.0,8884.0,2020
94546,78.39350657038949,136.40979846120177,177.0466145337294,167.4155441793294,28027.964432860997,7823,9.236,13.8976975584814,2020,12,101445.0,4983.0,2020
94551,79.81241284676318,141.1562440411515,199.3438596310804,164.35277787095853,27011.835593900636,9446,10.1015,16.401172030489096,2020,12,119087.0,6032.0,2020
94552,21.111729260825285,77.9795751827544,101.96464510671504,102.78103601861568,10563.94136505997,535,12.268,20.654977570093457,2020,12,180681.0,13686.0,2020
94555,72.40371793470275,131.24636850458387,178.4971510710333,159.00487055800545,25282.548861168067,6998,9.3185,17.06008459559874,2020,12,161175.0,7788.0,2020
94560,59.46122823434252,117.10793760876338,147.50000516854658,153.9488330795987,23700.243206570147,8852,10.7015,34.212520334387705,2020,12,127619.0,9813.0,2020
94566,75.62957888593515,127.67019966966475,180.08359608845836,150.55010167409372,22665.333114079956,10851,10.692,17.08764316652843,2020,12,163499.0,5373.0,2020
94568,60.43788391836512,128.2821394464916,169.068388381825,165.48726472890456,27386.03478745454,19615,8.524,13.841099209788428,2020,12,148083.0,5558.0,2020
94577,41.99415002458501,108.53585355402409,116.21053671072274,163.3571871913926,26685.57060708368,6348,8.0835,14.250794896030246,2020,12,89219.0,4991.0,2020
94578,88.09031417041845,184.5940614987694,233.8013109180281,233.92849025686095,54722.53855385429,4473,8.796,15.419550413592669,2020,12,71758.0,6551.0,2020
94579,72.20936398289518,139.78725623433675,194.60027648848336,177.01095363114345,31332.877705406812,1832,9.32,16.909159388646287,2020,12,91201.0,10386.0,2020
94580,40.122964671535,82.74274074944991,110.55257181410816,113.89924080842152,12973.037056734796,1041,5.592,10.132680115273777,2020,12,96581.0,5984.0,2020
94586,12.990535110698175,25.184957861419516,42.19194588804883,28.285347109879396,800.0608611263626,12,12.419,13.188,2020,12,164063.0,26301.0,2020
94587,33.78943218329661,85.81382092089214,93.034624048923,132.7952929305804,17634.589824518654,12368,7.5375,14.459939197930142,2020,12,120772.0,5628.0,2020
94588,79.8153075888554,126.1973716089326,180.31763736459868,143.22448497288357,20513.25309574775,4941,10.503,14.436058490184172,2020,12,157203.0,8654.0,2020
94601,51.587539741190795,133.20409004543805,142.31128165774203,192.62673739159908,37105.05995813207,3367,6.24,15.998240273240272,2020,12,53433.0,4332.0,2020
94602,77.29958841313349,139.86875753863467,174.00950304985145,172.26251717841996,29674.37482464543,4988,8.795,13.050896752205292,2020,12,107208.0,9610.0,2020
94603,23.77148102390543,40.50712063467439,28.032703322513015,73.97287126933425,5471.985683829497,2070,12.3785,16.42452415458937,2020,12,55692.0,3169.0,2020
94605,49.47058515422269,121.97617679876736,151.71940195590594,176.54356639509948,31167.630835500895,4180,6.4575,14.862801196172247,2020,12,77939.0,4650.0,2020
