zcta,median_download_mbps,mean_download_mbps,std_download_mbps,download_test_count,median_download_latency_ms,mean_download_latency_ms,mlab_year,mlab_month
94002,79.84919852520265,146.60651384845303,177.70850181231,1914,9.084,27.503137931034484,2020,12
94027,151.8745216419681,259.1990138959085,265.32324236394356,2965,3.756,8.60643844856661,2020,12
94061,89.67469805272461,172.28837102324,195.68991978618254,7714,7.903,11.652228675136117,2020,12
94063,67.01064345323081,121.16603627958972,148.13860516113797,4688,12.579,30.912331058020477,2020,12
94065,66.94010757032584,122.2826118316412,142.81123269261815,580,9.314,17.217370689655173,2020,12
94070,82.37482477814004,147.38298472965423,177.6427797292156,9115,7.769,15.513249698299507,2020,12
94303,75.8334578505553,129.79786197296949,151.67244752653173,8060,8.280999999999999,14.839206947890819,2020,12
94401,108.22703658370732,170.7935019737663,187.61997223172958,3845,7.909,15.45004655396619,2020,12
94402,79.12697003127651,146.0254849167162,174.19943551027106,3703,8.233,20.243211720226842,2020,12
94403,104.14614201172421,165.4330898449588,178.96744627301706,14164,7.48,10.602539113244847,2020,12
94404,70.42571669615735,148.4388133394105,295.7862537508319,6910,8.119499999999999,13.380480897250363,2020,12
94501,50.53844323903797,108.53667010813258,151.87627272820154,12603,9.642,20.270455129731015,2020,12
94502,60.96653552698519,95.29475092656382,124.28845778692643,880,9.721,14.750485227272726,2020,12
94505,77.01561399247143,172.27497440019312,209.2533563666035,1056,10.635,16.823744318181816,2020,12
94506,63.587028771746404,125.69908858232692,166.13489760112452,1524,10.672,22.948727690288713,2020,12
94507,198.11108749828307,213.7857237071198,126.66188124779089,3274,7.5665,9.286534208918754,2020,12
94514,3.0471987117287176,3.0471987117287176,0.8129776224229386,2,29.275,29.275,2020,12
94516,5.11868777607804,11.962462453890678,16.791467259632594,7,25.827,30.737714285714283,2020,12
94526,61.64852419826266,116.10564739291684,139.92079591274012,10820,10.781500000000001,21.116936136783735,2020,12
94536,56.51737012438109,114.97132101656987,153.4004464940295,24902,8.906,19.522413179664284,2020,12
94538,57.04514906476214,110.68422785048675,146.74825114715338,27596,9.033,16.993335302217712,2020,12
94541,52.06498234409311,111.67371059399737,152.10281967010258,13676,8.896,16.198113702837087,2020,12
94542,88.51982520007267,130.07732480986814,136.59078394987029,452,9.135,15.786314159292035,2020,12
94544,79.57592969895214,137.59687319789555,170.73547939031093,9226,9.6295,13.94435876869716,2020,12
94545,42.13303914396434,86.00084964724626,132.45440820768655,2408,7.801,18.216599252491694,2020,12
94546,78.39350657038949,136.40979846120177,167.4155441793294,7823,9.236,13.8976975584814,2020,12
94549,68.41803732248958,117.76850643923295,138.79879514282587,29290,10.617,315.3676313076135,2020,12
94551,79.81241284676318,141.1562440411515,164.35277787095853,9446,10.1015,16.401172030489096,2020,12
94552,21.111729260825285,77.9795751827544,102.78103601861567,535,12.268,20.654977570093457,2020,12
94555,72.40371793470275,131.24636850458387,159.00487055800545,6998,9.3185,17.06008459559874,2020,12
94556,44.63341763647985,109.66195813562304,146.22315380260966,4138,8.999500000000001,27.586680521991298,2020,12
94560,59.46122823434252,117.10793760876338,153.9488330795987,8852,10.7015,34.212520334387705,2020,12
94563,57.23674722004264,101.77555270042414,134.7298013673874,7543,10.052,44.08876521278006,2020,12
94566,75.62957888593515,127.67019966966475,150.55010167409372,10851,10.692,17.08764316652843,2020,12
94568,60.43788391836512,128.2821394464916,165.48726472890456,19615,8.524,13.841099209788428,2020,12
94577,41.99415002458501,108.53585355402409,163.3571871913926,6348,8.0835,14.250794896030246,2020,12
94578,88.09031417041845,184.5940614987694,233.92849025686095,4473,8.796,15.419550413592669,2020,12
94579,72.20936398289518,139.78725623433675,177.01095363114345,1832,9.32,16.909159388646287,2020,12
94580,40.122964671535,82.74274074944991,113.89924080842152,1041,5.592,10.132680115273775,2020,12
94582,93.13425008359384,152.1013158837346,157.93614463387667,9126,9.5755,13.365121192198115,2020,12
94583,77.50424129165602,129.42862514688278,156.88054736427577,9274,10.1725,15.699470131550571,2020,12
94586,12.990535110698175,25.184957861419516,28.285347109879396,12,12.419,13.188,2020,12
94587,33.78943218329661,85.81382092089214,132.7952929305804,12368,7.5375,14.459939197930142,2020,12
94588,79.8153075888554,126.19737160893261,143.22448497288357,4941,10.503,14.436058490184173,2020,12
