metric,n,spearman_rho,p_value
mean_download_latency_ms,47,-0.08684088806660499,0.5616327644213615
mean_download_mbps,47,0.09088806660499538,0.5434672012590405
mean_upload_latency_ms,47,0.12268732654949122,0.4113254017635761
mean_upload_mbps,47,-0.17055966697502312,0.251698125527792
median_download_latency_ms,47,0.1977335800185014,0.1827655431244929
median_download_mbps,47,0.109736355226642,0.46277907120122874
median_upload_latency_ms,47,0.2340425531914894,0.11333286638190655
median_upload_mbps,47,0.07030527289546716,0.6386467779995559
