download_mbps,ecdf
3.0471987117287176,0.014492753623188406
5.11868777607804,0.028985507246376812
12.990535110698175,0.043478260869565216
13.381317956494245,0.057971014492753624
21.111729260825285,0.07246376811594203
23.77148102390543,0.08695652173913043
33.78943218329661,0.10144927536231885
34.69186678790777,0.11594202898550725
35.74021574773862,0.13043478260869565
37.0820562651018,0.14492753623188406
40.122964671535,0.15942028985507245
41.99415002458501,0.17391304347826086
42.13303914396434,0.18840579710144928
44.63341763647985,0.2028985507246377
49.47058515422269,0.21739130434782608
50.53844323903797,0.2318840579710145
51.587539741190795,0.2463768115942029
52.06498234409311,0.2608695652173913
53.64144441477961,0.2753623188405797
55.472663955682194,0.2898550724637681
56.51737012438109,0.30434782608695654
57.04514906476214,0.3188405797101449
57.23674722004264,0.3333333333333333
59.46122823434252,0.34782608695652173
60.43788391836512,0.36231884057971014
60.96653552698519,0.37681159420289856
61.64852419826266,0.391304347826087
63.5870287717464,0.4057971014492754
63.789162788272776,0.42028985507246375
65.90066670883263,0.43478260869565216
66.79978985938051,0.4492753623188406
66.94010757032584,0.463768115942029
67.01064345323081,0.4782608695652174
68.41803732248958,0.4927536231884058
68.64987646339088,0.5072463768115942
70.42571669615735,0.5217391304347826
71.51388455834059,0.5362318840579711
72.20936398289518,0.5507246376811594
72.40371793470275,0.5652173913043478
75.62957888593515,0.5797101449275363
75.8334578505553,0.5942028985507246
77.01561399247143,0.6086956521739131
77.29958841313349,0.6231884057971014
77.50424129165602,0.6376811594202898
78.39350657038949,0.6521739130434783
79.12697003127651,0.6666666666666666
79.57592969895214,0.6811594202898551
79.81241284676318,0.6956521739130435
79.8153075888554,0.7101449275362319
79.84919852520265,0.7246376811594203
79.9411235973482,0.7391304347826086
80.4908060881643,0.7536231884057971
82.37482477814004,0.7681159420289855
84.28242595678019,0.782608695652174
84.32979821721301,0.7971014492753623
85.37201535933485,0.8115942028985508
88.09031417041845,0.8260869565217391
88.51982520007267,0.8405797101449275
88.72609395465537,0.855072463768116
89.67469805272461,0.8695652173913043
93.13425008359384,0.8840579710144928
104.1461420117242,0.8985507246376812
108.22703658370732,0.9130434782608695
110.61755449637867,0.927536231884058
113.53966234068037,0.9420289855072463
117.61907185685928,0.9565217391304348
132.255589461665,0.9710144927536232
151.8745216419681,0.9855072463768116
198.11108749828307,1.0
